,price(£),mileage(mi),door_count,body_style,engine_size(cc),transmission,year,brand,model
0,19998,21249.0,5.0,Estate,1995.0,Automatic,2016.0,BMW,X1
1,17795,24468.0,5.0,Estate,1997.0,Automatic,2014.0,Honda,CR-V
2,14500,45793.0,5.0,Estate,1984.0,Automatic,2013.0,Audi,Q3
3,21499,5295.0,5.0,Estate,1598.0,Manual,2019.0,Kia,Optima
4,22975,33891.0,5.0,Estate,2967.0,Automatic,2016.0,Volkswagen,Touareg
5,15998,45570.0,5.0,Estate,2143.0,Automatic,2016.0,Mercedes-Benz,E
6,9950,94000.0,5.0,Estate,1995.0,Automatic,2016.0,BMW,3
7,5948,106000.0,5.0,Estate,1685.0,Manual,2014.0,Hyundai,I40
8,19299,5000.0,5.0,Estate,1600.0,Automatic,2019.0,Skoda,Octavia
9,26980,5100.0,5.0,Estate,1498.0,Automatic,2019.0,Skoda,Kodiaq
10,30970,10553.0,5.0,Estate,3000.0,Automatic,2019.0,Jaguar,XF
12,16998,23950.0,5.0,Estate,1968.0,Manual,2015.0,Audi,Q3
13,8470,69445.0,5.0,Estate,1968.0,Manual,2015.0,Skoda,Yeti
14,10900,19458.0,5.0,Estate,1200.0,Manual,2017.0,Skoda,Fabia
15,15498,29164.0,5.0,Estate,1968.0,Manual,2017.0,Volkswagen,Golf
16,12999,31230.0,5.0,Estate,1598.0,Manual,2018.0,Volkswagen,Passat
17,14550,19000.0,5.0,Estate,1591.0,Manual,2017.0,Kia,Sportage
18,2995,98000.0,5.0,Estate,1686.0,Manual,2010.0,Vauxhall,Astra
19,30000,9850.0,5.0,Estate,2000.0,Automatic,2018.0,Jaguar,E-Pace
20,20000,11323.0,5.0,Estate,2000.0,Automatic,2019.0,Ford,Kuga
21,7995,91000.0,5.0,Estate,1598.0,Manual,2016.0,Skoda,Octavia
22,7995,94806.0,5.0,Estate,1995.0,Automatic,2012.0,BMW,3
23,8849,60706.0,5.0,Estate,1560.0,Manual,2015.0,Volvo,V60
24,20698,19822.0,5.0,Estate,2993.0,Automatic,2017.0,BMW,3
25,18995,1349.0,5.0,Estate,999.0,Manual,2019.0,Ford,Focus
26,21533,17884.0,5.0,Estate,1395.0,Automatic,2018.0,Skoda,Kodiaq
27,4495,100000.0,5.0,Estate,1598.0,Manual,2015.0,Vauxhall,Astra
28,3495,76789.0,5.0,Estate,2261.0,Manual,2009.0,Mazda,CX-7
29,63550,12968.0,5.0,Estate,4000.0,Automatic,2018.0,Audi,Q7
