,price(£),mileage(mi),door_count,body_style,engine_size(cc),transmission,year,brand,model,luxury_brand,brand_new,old,sports_car
0,19998,21249.0,5.0,Estate,1995.0,Automatic,2016.0,BMW,X1,1,0,0,0
1,17795,24468.0,5.0,Estate,1997.0,Automatic,2014.0,Honda,CR-V,0,0,0,0
2,14500,45793.0,5.0,Estate,1984.0,Automatic,2013.0,Audi,Q3,1,0,0,0
3,21499,5295.0,5.0,Estate,1598.0,Manual,2019.0,Kia,Optima,0,1,0,0
4,22975,33891.0,5.0,Estate,2967.0,Automatic,2016.0,Volkswagen,Touareg,0,0,0,0
5,15998,45570.0,5.0,Estate,2143.0,Automatic,2016.0,Mercedes-Benz,E,1,0,0,0
6,9950,94000.0,5.0,Estate,1995.0,Automatic,2016.0,BMW,3,1,0,0,0
7,5948,106000.0,5.0,Estate,1685.0,Manual,2014.0,Hyundai,I40,0,0,1,0
8,19299,5000.0,5.0,Estate,1600.0,Automatic,2019.0,Skoda,Octavia,0,1,0,0
9,26980,5100.0,5.0,Estate,1498.0,Automatic,2019.0,Skoda,Kodiaq,0,1,0,0
10,30970,10553.0,5.0,Estate,3000.0,Automatic,2019.0,Jaguar,XF,1,0,0,0
11,46970,26126.0,5.0,Estate,5000.0,Automatic,2017.0,Land-Rover,Range-Rover-Sport,1,0,0,0
12,16998,23950.0,5.0,Estate,1968.0,Manual,2015.0,Audi,Q3,1,0,0,0
13,8470,69445.0,5.0,Estate,1968.0,Manual,2015.0,Skoda,Yeti,0,0,0,0
14,10900,19458.0,5.0,Estate,1200.0,Manual,2017.0,Skoda,Fabia,0,0,0,0
15,15498,29164.0,5.0,Estate,1968.0,Manual,2017.0,Volkswagen,Golf,0,0,0,0
16,12999,31230.0,5.0,Estate,1598.0,Manual,2018.0,Volkswagen,Passat,0,0,0,0
17,14550,19000.0,5.0,Estate,1591.0,Manual,2017.0,Kia,Sportage,0,0,0,0
18,2995,98000.0,5.0,Estate,1686.0,Manual,2010.0,Vauxhall,Astra,0,0,0,0
19,30000,9850.0,5.0,Estate,2000.0,Automatic,2018.0,Jaguar,E-Pace,1,1,0,0
20,20000,11323.0,5.0,Estate,2000.0,Automatic,2019.0,Ford,Kuga,0,0,0,0
21,7995,91000.0,5.0,Estate,1598.0,Manual,2016.0,Skoda,Octavia,0,0,0,0
22,7995,94806.0,5.0,Estate,1995.0,Automatic,2012.0,BMW,3,1,0,0,0
23,8849,60706.0,5.0,Estate,1560.0,Manual,2015.0,Volvo,V60,0,0,0,0
24,20698,19822.0,5.0,Estate,2993.0,Automatic,2017.0,BMW,3,1,0,0,0
25,18995,1349.0,5.0,Estate,999.0,Manual,2019.0,Ford,Focus,0,1,0,0
26,21533,17884.0,5.0,Estate,1395.0,Automatic,2018.0,Skoda,Kodiaq,0,0,0,0
27,4495,100000.0,5.0,Estate,1598.0,Manual,2015.0,Vauxhall,Astra,0,0,0,0
28,3495,76789.0,5.0,Estate,2261.0,Manual,2009.0,Mazda,CX-7,0,0,0,0
29,63550,12968.0,5.0,Estate,4000.0,Automatic,2018.0,Audi,Q7,1,0,0,0
30,31999,10000.0,5.0,Estate,2000.0,Automatic,2019.0,Volkswagen,Tiguan,0,1,0,0
31,11498,45048.0,5.0,Estate,1968.0,Automatic,2015.0,Volkswagen,Tiguan,0,0,0,0
32,12299,14536.0,5.0,Estate,1395.0,Automatic,2015.0,Volkswagen,Golf,0,0,0,0
33,7000,59505.0,5.0,Estate,1997.0,Manual,2012.0,Ford,Focus,0,0,0,0
34,21999,19692.0,5.0,Estate,2000.0,Manual,2017.0,Skoda,Kodiaq,0,0,0,0
35,12999,53950.0,5.0,Estate,2199.0,Manual,2015.0,Kia,Sorento,0,0,0,0
36,15950,26498.0,5.0,Estate,1495.0,Automatic,2018.0,Volkswagen,Golf,0,0,0,0
37,33498,389.0,5.0,Estate,1995.0,Automatic,2019.0,Alfa-Romeo,Stelvio,1,1,0,0
38,17495,15.0,5.0,Estate,1197.0,Manual,2019.0,Toyota,Corolla,0,1,0,0
39,19000,22127.0,5.0,Estate,1998.0,Automatic,2018.0,BMW,2,1,0,0,0
40,29950,7043.0,5.0,Estate,1950.0,Automatic,2019.0,Mercedes-Benz,C,1,1,0,0
41,16000,7043.0,5.0,Estate,1700.0,Manual,2019.0,Renault,Scenic,0,1,0,0
42,31250,3112.0,5.0,Estate,2000.0,Automatic,2019.0,Volvo,XC60,0,1,0,0
43,8698,9820.0,5.0,Estate,1364.0,Manual,2017.0,Vauxhall,Meriva,0,1,0,0
44,1295,120000.0,5.0,Estate,2597.0,Automatic,2001.0,Mercedes-Benz,C,1,0,1,0
45,7979,93000.0,5.0,Estate,1968.0,Manual,2015.0,Volkswagen,Golf,0,0,0,0
46,22000,15109.0,5.0,Estate,1395.0,Automatic,2018.0,Audi,Q2,1,0,0,0
47,30995,25470.0,5.0,Estate,2995.0,Automatic,2017.0,Audi,S4,1,0,0,0
48,17998,13481.0,5.0,Estate,1498.0,Manual,2019.0,Seat,Ateca,0,0,0,0
49,15799,4414.0,5.0,Estate,1200.0,Automatic,2019.0,Vauxhall,Crossland,0,1,0,0
50,9387,58556.0,5.0,Estate,1968.0,Manual,2016.0,Seat,Leon,0,0,0,0
51,21000,32285.0,5.0,Estate,2000.0,Automatic,2017.0,Audi,Q3,1,0,0,0
52,19000,6996.0,5.0,Estate,1400.0,Manual,2018.0,Suzuki,Vitara,0,1,0,0
