,price,mileage,door/body,eng/tran,year/make/model
0,"£13,498"," 51,405 miles", 4 Door Saloon,1968cc Automatic ,2015 Audi A6
1,"£20,490"," 13,000 miles", 4 Door Saloon,2143cc Automatic ,2016 Mercedes-Benz C Class
2,"£10,579"," 54,000 miles", 4 Door Saloon,1999cc Manual ,2016 Jaguar XE
3,"£2,995"," 89,861 miles", 4 Door Saloon,1598cc Manual ,2008 Peugeot 308
4,"£16,795"," 7,198 miles", 4 Door Saloon,2191cc Manual ,2018 Mazda 6
5,"£16,500"," 13,906 miles", 5 Door Saloon,2200cc Manual ,2017 Mazda 6
6,"£11,495"," 120,000 miles", 4 Door Saloon,2987cc Automatic ,2013 Mercedes-Benz S Class
7,"£5,290"," 98,000 miles", 4 Door Saloon,1968cc Automatic ,2011 Volkswagen Passat
8,"£31,999"," 5,853 miles", 4 Door Saloon,2000cc Automatic ,2019 Mercedes-Benz E Class
9,"£25,888"," 1,500 miles", 5 Door Saloon,Automatic ,2020 Audi Q2
