,price,mileage,door/body,eng/tran,year/make/model
0,"£12,400","<span> 34,167 miles</span>", 5 Door 4x4,1997cc Manual ,2016 Ford Kuga
1,"£7,995","<span> 78,000 miles</span>", 5 Door 4x4,1997cc Manual ,2014 Ford Kuga
2,"£16,400","<span> 12,082 miles</span>", 5 Door 4x4,1997cc Manual ,2018 Ford Kuga
3,"£17,895","<span> 14,592 miles</span>", 5 Door 4x4,1591cc Manual ,2019 Hyundai Tucson
4,"£28,950","<span> 39,803 miles</span>", 5 Door 4x4,2967cc Automatic ,2016 Audi Q7
5,"£11,495","<span> 46,072 miles</span>", 5 Door 4x4,1968cc Manual ,2009 Audi Q5
6,"£12,495","<span> 22,684 miles</span>", 5 Door 4x4,1685cc Manual ,2016 Hyundai Tucson
7,"£21,499","<span> 7,506 miles</span>", 5 Door 4x4,2000cc Manual ,2019 Ford Kuga
8,"£61,736","<span> 1,812 miles</span>", 5 Door 4x4,2993cc Automatic ,2020 Land Rover Range Rover
9,"£16,405","<span> 3,775 miles</span>", 5 Door 4x4,1591cc Manual ,2019 Hyundai Tucson
10,"£12,400","<span> 34,167 miles</span>", 5 Door 4x4,1997cc Manual ,2016 Ford Kuga
11,"£7,995","<span> 78,000 miles</span>", 5 Door 4x4,1997cc Manual ,2014 Ford Kuga
12,"£16,400","<span> 12,082 miles</span>", 5 Door 4x4,1997cc Manual ,2018 Ford Kuga
13,"£17,895","<span> 14,592 miles</span>", 5 Door 4x4,1591cc Manual ,2019 Hyundai Tucson
14,"£28,950","<span> 39,803 miles</span>", 5 Door 4x4,2967cc Automatic ,2016 Audi Q7
15,"£11,495","<span> 46,072 miles</span>", 5 Door 4x4,1968cc Manual ,2009 Audi Q5
16,"£12,495","<span> 22,684 miles</span>", 5 Door 4x4,1685cc Manual ,2016 Hyundai Tucson
17,"£21,499","<span> 7,506 miles</span>", 5 Door 4x4,2000cc Manual ,2019 Ford Kuga
18,"£61,736","<span> 1,812 miles</span>", 5 Door 4x4,2993cc Automatic ,2020 Land Rover Range Rover
19,"£16,405","<span> 3,775 miles</span>", 5 Door 4x4,1591cc Manual ,2019 Hyundai Tucson
20,"£36,990",<span> 10 miles</span>, 5 Door 4x4,1969cc Manual ,2020 Volvo V90
21,"£43,606","<span> 22,300 miles</span>", 5 Door 4x4,2987cc Manual ,2018 Mercedes-Benz GL Class
22,"£14,495","<span> 81,000 miles</span>", 5 Door 4x4,3200cc Automatic ,2015 Mitsubishi Shogun
23,"£25,495","<span> 3,655 miles</span>", 5 Door 4x4,1332cc Automatic ,2019 Nissan X-Trail
24,"£33,995","<span> 9,000 miles</span>", 5 Door 4x4,1968cc Manual ,2019 Volkswagen Tiguan
25,"£5,300","<span> 39,500 miles</span>", 3 Door 4x4,1328cc Manual ,2006 Suzuki Jimny
26,"£10,900","<span> 43,000 miles</span>", 5 Door 4x4,2000cc Manual ,2015 Ford Kuga
27,"£19,995","<span> 6,276 miles</span>", 5 Door 4x4,1591cc Manual ,2018 Hyundai Tucson
