,price,mileage,door/body,eng/tran,year/make/model
0,"£18,795","<span> 24,277 miles</span>", 2 Door Convertible,2000cc Automatic ,2017 Mercedes-Benz SLC
1,"£5,750","<span> 87,000 miles</span>", 2 Door Convertible,1995cc Manual ,2011 BMW 1 Series
2,"£27,995","<span> 9,399 miles</span>", 2 Door Convertible,4951cc Automatic ,2016 Ford Mustang
3,"£118,900","<span> 3,050 miles</span>", 2 Door Convertible,4000cc Automatic ,2019 Aston Martin DB11
4,£995,"<span> 77,400 miles</span>", 2 Door Convertible,1587cc Manual ,2006 Peugeot 206
5,"£5,500","<span> 23,237 miles</span>", 2 Door Convertible,1200cc Manual ,2014 Fiat 500
6,"£25,998","<span> 6,759 miles</span>", 2 Door Convertible,1998cc Automatic ,2019 BMW 4 Series
7,"£49,970","<span> 4,000 miles</span>", 2 Door Convertible,3000cc Automatic ,2019 Mercedes-Benz E Class
8,"£21,450",<span> 5 miles</span>, 2 Door Convertible,1998cc Manual ,2019 Mini Convertible
9,"£3,450","<span> 64,710 miles</span>", 2 Door Convertible,1598cc Manual ,2009 Mini Convertible
10,"£18,795","<span> 24,277 miles</span>", 2 Door Convertible,2000cc Automatic ,2017 Mercedes-Benz SLC
11,"£5,750","<span> 87,000 miles</span>", 2 Door Convertible,1995cc Manual ,2011 BMW 1 Series
12,"£27,995","<span> 9,399 miles</span>", 2 Door Convertible,4951cc Automatic ,2016 Ford Mustang
13,"£118,900","<span> 3,050 miles</span>", 2 Door Convertible,4000cc Automatic ,2019 Aston Martin DB11
14,£995,"<span> 77,400 miles</span>", 2 Door Convertible,1587cc Manual ,2006 Peugeot 206
15,"£5,500","<span> 23,237 miles</span>", 2 Door Convertible,1200cc Manual ,2014 Fiat 500
16,"£25,998","<span> 6,759 miles</span>", 2 Door Convertible,1998cc Automatic ,2019 BMW 4 Series
17,"£49,970","<span> 4,000 miles</span>", 2 Door Convertible,3000cc Automatic ,2019 Mercedes-Benz E Class
18,"£21,450",<span> 5 miles</span>, 2 Door Convertible,1998cc Manual ,2019 Mini Convertible
19,"£3,450","<span> 64,710 miles</span>", 2 Door Convertible,1598cc Manual ,2009 Mini Convertible
20,"£23,999","<span> 9,800 miles</span>", 2 Door Convertible,3500cc Automatic ,2016 Mercedes-Benz E Class
21,"£1,999","<span> 117,504 miles</span>", 2 Door Convertible,1598cc Automatic ,2006 Renault Megane
22,"£23,944","<span> 4,912 miles</span>", 2 Door Convertible,1998cc Automatic ,2019 Mini Convertible
23,"£11,995","<span> 49,000 miles</span>", 2 Door Convertible,2987cc Automatic ,2012 Mercedes-Benz E Class
24,"£5,995","<span> 77,839 miles</span>", 2 Door Convertible,1910cc Manual ,2008 Saab 9-3
25,"£11,991","<span> 33,999 miles</span>", 2 Door Convertible,2687cc Automatic ,2007 Porsche Boxster
26,"£5,600","<span> 60,000 miles</span>", 2 Door Convertible,1995cc Manual ,2012 Mini Roadster
27,"£5,495","<span> 37,000 miles</span>", 2 Door Convertible,1598cc Manual ,2011 Mini Convertible
28,"£30,250","<span> 9,650 miles</span>", 2 Door Convertible,1950cc Automatic ,2019 Mercedes-Benz C Class
29,"£6,990","<span> 20,000 miles</span>", 2 Door Convertible,1242cc Manual ,2015 Fiat 500
30,"£239,000","<span> 2,020 miles</span>", 2 Door Convertible,5200cc Automatic ,2019 Lamborghini Huracan
31,"£4,399","<span> 115,000 miles</span>", 2 Door Convertible,1995cc Manual ,2008 BMW 1 Series
