,price,mileage,door/body,eng/tran,year/make/model
0,"£11,250","<span> 2,460 miles</span>", 2 Door Coupe,1000cc Automatic ,2019 Smart Fortwo
1,"£26,990","<span> 1,350 miles</span>", 3 Door Coupe,3700cc Manual ,2019 Nissan 370Z
2,"£18,300","<span> 18,064 miles</span>", 2 Door Coupe,1995cc Automatic ,2017 BMW 4 Series
3,"£23,665","<span> 39,600 miles</span>", Coupe,4000cc Manual ,1999 TVR Cerbera
4,"£10,379","<span> 93,500 miles</span>", 5 Door Coupe,1995cc Automatic ,2015 BMW 4 Series
5,"£3,995","<span> 53,558 miles</span>", 2 Door Coupe,1895cc Manual ,1998 BMW Z3
6,"£10,349","<span> 14,476 miles</span>", 3 Door Coupe,1598cc Manual ,2017 Vauxhall GTC
7,"£119,990","<span> 18,000 miles</span>", 2 Door Coupe,5204cc Manual ,2014 Lamborghini Huracan
8,"£14,498","<span> 19,236 miles</span>", 2 Door Coupe,1997cc Automatic ,2015 BMW 2 Series
9,"£21,490","<span> 9,447 miles</span>", 4 Door Coupe,2143cc Automatic ,2017 Mercedes-Benz CLA Class
10,"£11,250","<span> 2,460 miles</span>", 2 Door Coupe,1000cc Automatic ,2019 Smart Fortwo
11,"£26,990","<span> 1,350 miles</span>", 3 Door Coupe,3700cc Manual ,2019 Nissan 370Z
12,"£18,300","<span> 18,064 miles</span>", 2 Door Coupe,1995cc Automatic ,2017 BMW 4 Series
13,"£23,665","<span> 39,600 miles</span>", Coupe,4000cc Manual ,1999 TVR Cerbera
14,"£10,379","<span> 93,500 miles</span>", 5 Door Coupe,1995cc Automatic ,2015 BMW 4 Series
15,"£3,995","<span> 53,558 miles</span>", 2 Door Coupe,1895cc Manual ,1998 BMW Z3
16,"£10,349","<span> 14,476 miles</span>", 3 Door Coupe,1598cc Manual ,2017 Vauxhall GTC
17,"£119,990","<span> 18,000 miles</span>", 2 Door Coupe,5204cc Manual ,2014 Lamborghini Huracan
18,"£14,498","<span> 19,236 miles</span>", 2 Door Coupe,1997cc Automatic ,2015 BMW 2 Series
19,"£21,490","<span> 9,447 miles</span>", 4 Door Coupe,2143cc Automatic ,2017 Mercedes-Benz CLA Class
20,"£15,799","<span> 26,709 miles</span>", 2 Door Coupe,Automatic ,2016 Mercedes-Benz E Class
21,"£17,900","<span> 7,307 miles</span>", 2 Door Coupe,1500cc Automatic ,2019 BMW 2 Series
22,"£34,425","<span> 48,322 miles</span>", 2 Door Coupe,4163cc Automatic ,2008 Audi R8
