,price,mileage,door/body,eng/tran,year/make/model
0,"£16,498","<span> 16,046 miles</span>", 5 Door Hatchback,1580cc Automatic ,2018 Hyundai Ioniq
1,"£14,370","<span> 7,024 miles</span>", 5 Door Hatchback,1499cc Manual ,2018 Ford Focus
2,"£15,790","<span> 26,993 miles</span>", 5 Door Hatchback,1461cc Manual ,2017 Mercedes-Benz A Class
3,"£13,999","<span> 6,003 miles</span>", 5 Door Hatchback,1498cc Manual ,2019 Seat Leon
4,"£5,972","<span> 79,800 miles</span>", 5 Door Hatchback,1997cc Manual ,2013 Ford Mondeo
5,"£8,998","<span> 18,281 miles</span>", 5 Door Hatchback,1200cc Manual ,2016 Peugeot 208
6,"£11,370","<span> 14,305 miles</span>", 5 Door Hatchback,998cc Manual ,2018 Ford Fiesta
7,"£8,499","<span> 50,539 miles</span>", 5 Door Hatchback,1600cc Manual ,2016 Vauxhall Mokka
8,"£10,930","<span> 15,745 miles</span>", 5 Door Hatchback,1197cc Manual ,2017 Renault Kadjar
9,"£6,998","<span> 23,663 miles</span>", 5 Door Hatchback,1200cc Manual ,2016 Peugeot 208
10,"£16,498","<span> 16,046 miles</span>", 5 Door Hatchback,1580cc Automatic ,2018 Hyundai Ioniq
11,"£14,370","<span> 7,024 miles</span>", 5 Door Hatchback,1499cc Manual ,2018 Ford Focus
12,"£15,790","<span> 26,993 miles</span>", 5 Door Hatchback,1461cc Manual ,2017 Mercedes-Benz A Class
13,"£13,999","<span> 6,003 miles</span>", 5 Door Hatchback,1498cc Manual ,2019 Seat Leon
14,"£5,972","<span> 79,800 miles</span>", 5 Door Hatchback,1997cc Manual ,2013 Ford Mondeo
15,"£8,998","<span> 18,281 miles</span>", 5 Door Hatchback,1200cc Manual ,2016 Peugeot 208
16,"£11,370","<span> 14,305 miles</span>", 5 Door Hatchback,998cc Manual ,2018 Ford Fiesta
17,"£8,499","<span> 50,539 miles</span>", 5 Door Hatchback,1600cc Manual ,2016 Vauxhall Mokka
18,"£10,930","<span> 15,745 miles</span>", 5 Door Hatchback,1197cc Manual ,2017 Renault Kadjar
19,"£6,998","<span> 23,663 miles</span>", 5 Door Hatchback,1200cc Manual ,2016 Peugeot 208
20,"£19,750","<span> 12,000 miles</span>", 5 Door Hatchback,Automatic ,2018 Nissan Leaf
21,"£6,498","<span> 40,166 miles</span>", 5 Door Hatchback,998cc Manual ,2015 Ford Fiesta
22,"£17,698","<span> 21,087 miles</span>", 3 Door Hatchback,1984cc Manual ,2017 Seat Leon
23,"£3,790","<span> 50,000 miles</span>", 3 Door Hatchback,1598cc Manual ,2006 Mini Hatch
24,"£10,990",<span> 100 miles</span>, 3 Door Hatchback,1398cc Manual ,2019 Vauxhall Corsa
25,"£8,298","<span> 26,890 miles</span>", 3 Door Hatchback,999cc Manual ,2016 Volkswagen Polo
26,"£12,995","<span> 8,000 miles</span>", 5 Door Hatchback,1300cc Manual ,2019 Renault Kadjar
27,"£6,490","<span> 19,582 miles</span>", 5 Door Hatchback,998cc Manual ,2018 Peugeot 108
