,price,mileage,door/body,eng/tran,year/make/model
0,"£25,998","<span> 19,479 miles</span>", 4 Door Saloon,1995cc Automatic ,2018 BMW 5 Series
1,"£28,450","<span> 36,000 miles</span>", 4 Door Saloon,4395cc Automatic ,2016 BMW M5
2,"£11,995","<span> 63,910 miles</span>", 4 Door Saloon,2179cc Automatic ,2014 Jaguar XF
3,"£17,999","<span> 13,503 miles</span>", 4 Door Saloon,1995cc Manual ,2018 BMW 3 Series
4,"£10,495","<span> 61,000 miles</span>", 4 Door Saloon,1968cc Manual ,2016 Volkswagen Passat
5,"£26,295",<span> 10 miles</span>, 4 Door Saloon,2191cc Manual ,2019 Mazda 6
6,"£1,995","<span> 110,000 miles</span>", 4 Door Saloon,1910cc Manual ,2009 Saab 9-5
7,"£36,090",, 4 Door Saloon,1998cc Automatic ,2019 BMW 3 Series
8,"£7,000","<span> 98,000 miles</span>", 4 Door Saloon,2987cc Automatic ,2011 Mercedes-Benz C Class
9,"£27,490","<span> 8,900 miles</span>", 4 Door Saloon,2000cc Automatic ,2019 Audi A4
10,"£25,998","<span> 19,479 miles</span>", 4 Door Saloon,1995cc Automatic ,2018 BMW 5 Series
11,"£28,450","<span> 36,000 miles</span>", 4 Door Saloon,4395cc Automatic ,2016 BMW M5
12,"£11,995","<span> 63,910 miles</span>", 4 Door Saloon,2179cc Automatic ,2014 Jaguar XF
13,"£17,999","<span> 13,503 miles</span>", 4 Door Saloon,1995cc Manual ,2018 BMW 3 Series
14,"£10,495","<span> 61,000 miles</span>", 4 Door Saloon,1968cc Manual ,2016 Volkswagen Passat
15,"£26,295",<span> 10 miles</span>, 4 Door Saloon,2191cc Manual ,2019 Mazda 6
16,"£1,995","<span> 110,000 miles</span>", 4 Door Saloon,1910cc Manual ,2009 Saab 9-5
17,"£36,090",, 4 Door Saloon,1998cc Automatic ,2019 BMW 3 Series
18,"£7,000","<span> 98,000 miles</span>", 4 Door Saloon,2987cc Automatic ,2011 Mercedes-Benz C Class
19,"£27,490","<span> 8,900 miles</span>", 4 Door Saloon,2000cc Automatic ,2019 Audi A4
20,"£25,998","<span> 19,479 miles</span>", 4 Door Saloon,1995cc Automatic ,2018 BMW 5 Series
21,"£28,450","<span> 36,000 miles</span>", 4 Door Saloon,4395cc Automatic ,2016 BMW M5
22,"£11,995","<span> 63,910 miles</span>", 4 Door Saloon,2179cc Automatic ,2014 Jaguar XF
23,"£17,999","<span> 13,503 miles</span>", 4 Door Saloon,1995cc Manual ,2018 BMW 3 Series
24,"£10,495","<span> 61,000 miles</span>", 4 Door Saloon,1968cc Manual ,2016 Volkswagen Passat
25,"£26,295",<span> 10 miles</span>, 4 Door Saloon,2191cc Manual ,2019 Mazda 6
26,"£1,995","<span> 110,000 miles</span>", 4 Door Saloon,1910cc Manual ,2009 Saab 9-5
27,"£36,090",, 4 Door Saloon,1998cc Automatic ,2019 BMW 3 Series
28,"£7,000","<span> 98,000 miles</span>", 4 Door Saloon,2987cc Automatic ,2011 Mercedes-Benz C Class
29,"£27,490","<span> 8,900 miles</span>", 4 Door Saloon,2000cc Automatic ,2019 Audi A4
