,price,mileage,door/body,eng/tran,year/make/model
0,"£23,993","<span> 11,337 miles</span>", 4 Door Saloon,1969cc Automatic ,2019 Volvo S90
1,"£9,500","<span> 89,100 miles</span>", 4 Door Saloon,1968cc Automatic ,2016 Volkswagen Passat
2,"£30,498",<span> 9 miles</span>, 4 Door Saloon,1395cc Automatic ,2019 Volkswagen Passat
3,"£39,990","<span> 1,612 miles</span>", Saloon,1969cc Automatic ,2019 Volvo S60
4,"£7,995","<span> 93,000 miles</span>", 4 Door Saloon,2993cc Automatic ,2010 Jaguar XF
5,"£5,415","<span> 95,975 miles</span>", 4 Door Saloon,2722cc Automatic ,2006 Jaguar XJ Series
6,"£17,498","<span> 19,218 miles</span>", 4 Door Saloon,1995cc Automatic ,2016 BMW 5 Series
7,"£15,990","<span> 38,051 miles</span>", 4 Door Saloon,2143cc Automatic ,2017 Mercedes-Benz C Class
8,"£38,990","<span> 11,506 miles</span>", 4 Door Saloon,2900cc Automatic ,2018 Mercedes-Benz S Class
9,"£14,295","<span> 40,346 miles</span>", 4 Door Saloon,2143cc Automatic ,2016 Mercedes-Benz C Class
10,"£23,993","<span> 11,337 miles</span>", 4 Door Saloon,1969cc Automatic ,2019 Volvo S90
11,"£9,500","<span> 89,100 miles</span>", 4 Door Saloon,1968cc Automatic ,2016 Volkswagen Passat
12,"£30,498",<span> 9 miles</span>, 4 Door Saloon,1395cc Automatic ,2019 Volkswagen Passat
13,"£39,990","<span> 1,612 miles</span>", Saloon,1969cc Automatic ,2019 Volvo S60
14,"£7,995","<span> 93,000 miles</span>", 4 Door Saloon,2993cc Automatic ,2010 Jaguar XF
15,"£5,415","<span> 95,975 miles</span>", 4 Door Saloon,2722cc Automatic ,2006 Jaguar XJ Series
16,"£17,498","<span> 19,218 miles</span>", 4 Door Saloon,1995cc Automatic ,2016 BMW 5 Series
17,"£15,990","<span> 38,051 miles</span>", 4 Door Saloon,2143cc Automatic ,2017 Mercedes-Benz C Class
18,"£38,990","<span> 11,506 miles</span>", 4 Door Saloon,2900cc Automatic ,2018 Mercedes-Benz S Class
19,"£14,295","<span> 40,346 miles</span>", 4 Door Saloon,2143cc Automatic ,2016 Mercedes-Benz C Class
20,"£16,130","<span> 44,920 miles</span>", 4 Door Saloon,1984cc Automatic ,2017 Audi A4
21,"£6,499","<span> 45,000 miles</span>", 4 Door Saloon,1798cc Manual ,2010 Audi A4
22,"£20,498","<span> 22,441 miles</span>", 4 Door Saloon,2494cc Automatic ,2017 Lexus IS
23,"£32,881","<span> 4,590 miles</span>", 4 Door Saloon,2000cc Automatic ,2019 Mercedes-Benz C Class
24,"£13,995","<span> 45,024 miles</span>", 4 Door Saloon,2143cc Automatic ,2015 Mercedes-Benz C Class
25,"£11,799","<span> 81,114 miles</span>", 4 Door Saloon,Automatic ,2017 BMW 3 Series
26,"£19,498","<span> 18,266 miles</span>", 4 Door Saloon,2143cc Automatic ,2017 Mercedes-Benz C Class
27,"£14,298","<span> 38,011 miles</span>", 4 Door Saloon,1995cc Automatic ,2016 BMW 3 Series
28,"£17,499","<span> 65,821 miles</span>", 4 Door Saloon,Automatic ,2016 Jaguar XE
29,"£16,850","<span> 14,000 miles</span>", 5 Door Saloon,1598cc Manual ,2017 Audi Q2
30,"£15,250","<span> 42,755 miles</span>", 5 Door Saloon,1598cc Manual ,2017 Audi Q2
31,"£7,999","<span> 48,436 miles</span>", 4 Door Saloon,2143cc Automatic ,2011 Mercedes-Benz C Class
32,"£4,000","<span> 81,000 miles</span>", 4 Door Saloon,2198cc Automatic ,2009 Jaguar X-Type
